course_code,title,credits,description,source
CSCI 6015,Cyber Forensics,3 Credits,"Acquiring, preserving and analyzing digitally stored information while ensuring that this information is admissible as evidence in a court of law. Principles and techniques for cyber forensics investigations using industry-standard forensic process. Restricted to SEAS online students.",bulletin
CSCI 6016,Applied Network Defense,3 Credits,"Computer security: protection aspects of the Internet. Cryptographic tools to provide security, such as shared key encryption (DES, 3DES, RC and more), public key encryption, key exchange, and digital signature. Internet protocols and applications. Restricted to SEAS online students.",bulletin
CSCI 6018,Cloud Application Architecture,3 Credits,"Cloud application design guidelines and software patterns. Survey of cloud services for scalable secure cloud applications. Trade-offs in cloud application design, container vs virtual machine deployments, and monolithic vs microservice. Restricted to SEAS online students.",bulletin
CSCI 6114,Introduction to Computer Systems and Systems Programming,3 Credits,"Introduction to basic concepts underlying all computer systems; processor operation, hierarchical memory systems, elementary logic circuits, and systems software such as compilers, linkers, and operating systems from the programmer’s perspective. Software development with the C programming language. Students cannot receive credit for this course andCSCI 6011. Restricted to students in select programs; departmental permission is required. Prerequisites:CSCI 2113orCSCI 6003. (Fall, spring, and summer, Every year)",bulletin
CSCI 6115,Application Development I,3 Credits,"Client-server programming, web development, front end design, back-end server development, introduction to databases. Front and back-end languages, server administration and tools. Students cannot get credit for this course andCSCI 2441,CSCI 2441W,CSCI 2541, orCSCI 2541W. Restricted to students in select programs; departmental permission is required. Prerequisites:CSCI 2113orCSCI 6003. (Fall, spring, and summer, Every year)",bulletin
CSCI 6116,Advanced Application Development,3 Credits,"Design of large software systems and installable applications, development frameworks, integration of components and services, cloud and web programming, and mobile device development; software specification and testing. Prerequisites:CSCI 6115,CSCI 6431andCSCI 6441. (Fall, spring, and summer, Every year)",bulletin
CSCI 6201,Software Fundamentals,3 Credits,"Review of programming in a high-level object oriented language with core data structures, objects. Students with equivalent coursework may test out. Restricted to students in the master’s programs in computer science or cybersecurity with permission to register.",bulletin
CSCI 6202,Computer Systems Fundamentals,3 Credits,"Computer organization and computer systems with data representation, memory, output and input, CPU. Restricted to Master’s students in Computer Science or Cybersecurity with permission to register. Students with equivalent coursework may test out. Restricted to Master’s students in Computer Science or Cybersecurity with permission to register. (Spring and fall, Every year)",bulletin
CSCI 6203,Mathematical Fundamentals of Computer Science,3 Credits,"Discrete structures in computer science. Mathematical structures for machine learning and data science. Students with equivalent coursework may test out. Restricted to Master’s students in CS or Cybersecurity with permission to register. (Spring and fall, Every year)",bulletin
CSCI 6212,Design and Analysis of Algorithms,3 Credits,"Design and analysis of algorithms; Turing machines; NP-complete theory; algorithmic techniques: divide-and-conquer, greedy, dynamic programming, graph traversal, backtracking, and branch-and-bound; applications include sorting and searching, graph algorithms, and optimization. Students are expected to know data structures and possess general programming skills in one or more procedural/OOP language such as C/C++/Java, and to have a good mathematical background such as discrete math and some calculus, prior to registration. (Fall, spring, and summer, Every year)",bulletin
CSCI 6221,Advanced Software Paradigms,3 Credits,"Object-oriented, procedural, functional, and concurrent software design paradigms; design patterns; software life cycle concepts; tadeoffs between compiled and interpreted languages; examples from Java, C, C++ and Perl. Restricted to graduate students. (Fall, spring, and summer, Every year)",bulletin
CSCI 6223,Principles of Programming Languages,3 Credits,"Fundamental concepts underlying design of programming languages; detailed study of functional and object-oriented computational models; types, evaluation, abstraction, control flow, modules, mutation, laziness, polymorphism, subtyping, inheritance. Students cannot receive credit for bothCSCI 6223taken while a graduate andCSCI 4223taken while an undergraduate student. Students in the combined BS/MS program cannot receive credit for bothCSCI 4223andCSCI 6223. (Spring, Odd years)",bulletin
